year,World Population before 10000 BCE (Kremer's estimates),World Population after 10000 BCE and before 1000 CE (Kremer's estimates),World Population after 1000 CE (Kremer's estimates),World Population 1950-2013 (US Census),UN Projection (Medium) - 2012 Revision
-1000000,125000.0,,,,
-300000,1000000.0,,,,
-25000,3340000.0,,,,
-10000,4000000.0,4000000.0,,,
-5000,,5000000.0,,,
-4000,,7000000.0,,,
-3000,,14000000.0,,,
-2000,,27000000.0,,,
-1000,,50000000.0,,,
-500,,100000000.0,,,
-200,,150000000.0,,,
1,,170000000.0,,,
200,,190000000.0,,,
400,,190000000.0,,,
600,,200000000.0,,,
800,,220000000.0,,,
1000,,265000000.0,265000000.0,,
1100,,,320000000.0,,
1200,,,360000000.0,,
1300,,,360000000.0,,
1400,,,350000000.0,,
1500,,,425000000.0,,
1600,,,545000000.0,,
1650,,,545000000.0,,
1700,,,610000000.0,,
1750,,,720000000.0,,
1800,,,900000000.0,,
1850,,,1200000000.0,,
1875,,,1325000000.0,,
1900,,,1625000000.0,,
1920,,,1813000000.0,,
1930,,,1987000000.0,,
1940,,,2213000000.0,,
1950,,,2516000000.0,2557630000.0,
1951,,,,2594920000.0,
1952,,,,2636730000.0,
1953,,,,2681990000.0,
1954,,,,2730150000.0,
1955,,,,2782000000.0,
1956,,,,2835180000.0,
1957,,,,2891210000.0,
1958,,,,2947980000.0,
1959,,,,3000540000.0,
1960,,,3019000000.0,3042830000.0,
1961,,,,3083800000.0,
1962,,,,3139920000.0,
1963,,,,3209630000.0,
1964,,,,3280980000.0,
1965,,,,3350190000.0,
1966,,,,3420420000.0,
1967,,,,3490050000.0,
1968,,,,3562010000.0,
1969,,,,3636830000.0,
1970,,,3693000000.0,3712340000.0,
1971,,,,3789940000.0,
1972,,,,3866160000.0,
1973,,,,3941660000.0,
1974,,,,4016160000.0,
1975,,,,4088620000.0,
1976,,,,4159720000.0000005,
1977,,,,4231620000.0,
1978,,,,4303650000.0,
1979,,,,4378570000.0,
1980,,,4450000000.0,4450930000.0,
1981,,,,4533930000.0,
1982,,,,4614020000.0,
1983,,,,4695110000.0,
1984,,,,4773870000.0,
1985,,,,4855690000.0,
1986,,,,4939720000.0,
1987,,,,5026260000.0,
1988,,,,5113550000.0,
1989,,,,5200380000.0,
1990,,,5333000000.0,5287870000.0,
1991,,,,5370830000.0,
1992,,,,5455720000.0,
1993,,,,5538200000.0,
1994,,,,5618940000.0,
1995,,,,5699770000.0,
1996,,,,5780310000.0,
1997,,,,5859120000.0,
1998,,,,5936610000.0,
1999,,,,6013680000.0,
2000,,,,6090320000.0,
2001,,,,6167060000.0,
2002,,,,6243870000.0,
2003,,,,6320370000.0,
2004,,,,6397320000.0,
2005,,,,6474230000.0,
2006,,,,6552100000.0,
2007,,,,6630760000.0,
2008,,,,6709620000.0,
2009,,,,6788200000.0,
2010,,,,6866050000.0,
2011,,,,6943440000.0,
2012,,,,7020760000.0,
2013,,,,7098500000.0,7098500000.0
2020,,,,,7717000000.0
2030,,,,,8425000000.0
2040,,,,,9039000000.0
2050,,,,,9551000000.0
2060,,,,,9957000000.0
2070,,,,,10277000000.0
2080,,,,,10524000000.0
2090,,,,,10717000000.0
2100,,,,,10854000000.0
